,precision,recall,f1-score,support
Clean,0.9462719298245614,0.7388698630136986,0.8298076923076922,1168.0
Defect,0.2720763723150358,0.6993865030674846,0.39175257731958757,163.0
accuracy,0.7340345604808415,0.7340345604808415,0.7340345604808415,0.7340345604808415
macro avg,0.6091741510697986,0.7191281830405916,0.6107801348136399,1331.0
weighted avg,0.8637070343519448,0.7340345604808415,0.7761615737929958,1331.0
