,precision,recall,f1-score,support
Clean,0.9844020797227037,0.4863013698630137,0.6510028653295129,1168.0
Defect,0.20424403183023873,0.9447852760736196,0.33587786259541985,163.0
accuracy,0.5424492862509391,0.5424492862509391,0.5424492862509391,0.5424492862509391
macro avg,0.5943230557764712,0.7155433229683167,0.4934403639624664,1331.0
weighted avg,0.888860560709577,0.5424492862509391,0.6124112985033242,1331.0
